Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
2.260	0.03898	-61.83	0.8485	300.13	-1000000	-1000000	-1000000	-1000000	
2.280	0.03985	-56.77	0.8518	300.11	-1000000	-1000000	-1000000	-1000000	
2.300	0.04078	-54.53	0.8549	300.11	-1000000	-1000000	-1000000	-1000000	
2.320	0.04175	-54.80	0.8580	300.14	-1000000	-1000000	-1000000	-1000000	
2.340	0.04264	-56.32	0.8612	300.14	-1000000	-1000000	-1000000	-1000000	
2.360	0.04347	-58.59	0.8643	300.12	-1000000	-1000000	-1000000	-1000000	
2.380	0.04436	-60.23	0.8674	300.11	-1000000	-1000000	-1000000	-1000000	
2.400	0.04530	-60.16	0.8707	300.11	-1000000	-1000000	-1000000	-1000000	
2.420	0.04614	-59.70	0.8739	300.14	-1000000	-1000000	-1000000	-1000000	
2.440	0.04699	-59.00	0.8772	300.14	-1000000	-1000000	-1000000	-1000000	
2.460	0.04791	-58.79	0.8805	300.12	-1000000	-1000000	-1000000	-1000000	
2.480	0.04886	-59.49	0.8837	300.11	-1000000	-1000000	-1000000	-1000000	
2.500	0.04983	-61.20	0.8868	300.12	-1000000	-1000000	-1000000	-1000000	
2.520	0.05078	-63.05	0.8899	300.14	-1000000	-1000000	-1000000	-1000000	
2.540	0.05167	-64.71	0.8930	300.13	-1000000	-1000000	-1000000	-1000000	
2.560	0.05252	-65.81	0.8963	300.11	-1000000	-1000000	-1000000	-1000000	
2.580	0.05337	-66.36	0.8995	300.10	-1000000	-1000000	-1000000	-1000000	
2.600	0.05425	-66.41	0.9029	300.12	-1000000	-1000000	-1000000	-1000000	
2.620	0.05517	-65.48	0.9062	300.14	-1000000	-1000000	-1000000	-1000000	
2.640	0.05616	-64.35	0.9094	300.13	-1000000	-1000000	-1000000	-1000000	
2.660	0.05709	-63.62	0.9126	300.11	-1000000	-1000000	-1000000	-1000000	
2.680	0.05800	-63.93	0.9161	300.11	-1000000	-1000000	-1000000	-1000000	
2.700	0.05893	-64.36	0.9194	300.13	-1000000	-1000000	-1000000	-1000000	
2.720	0.05990	-64.52	0.9226	300.14	-1000000	-1000000	-1000000	-1000000	
2.740	0.06079	-64.48	0.9259	300.12	-1000000	-1000000	-1000000	-1000000	
2.760	0.06170	-64.37	0.9292	300.11	-1000000	-1000000	-1000000	-1000000	
2.780	0.06262	-64.38	0.9325	300.12	-1000000	-1000000	-1000000	-1000000	
2.800	0.06353	-64.23	0.9358	300.14	-1000000	-1000000	-1000000	-1000000	
2.820	0.06445	-63.49	0.9390	300.14	-1000000	-1000000	-1000000	-1000000	
2.840	0.06543	-62.87	0.9423	300.12	-1000000	-1000000	-1000000	-1000000	
2.860	0.06637	-62.75	0.9456	300.11	-1000000	-1000000	-1000000	-1000000	
2.880	0.06724	-63.43	0.9489	300.12	-1000000	-1000000	-1000000	-1000000	
2.900	0.06811	-64.50	0.9522	300.14	-1000000	-1000000	-1000000	-1000000	
2.920	0.06904	-65.53	0.9554	300.14	-1000000	-1000000	-1000000	-1000000	
2.940	0.07002	-66.61	0.9587	300.11	-1000000	-1000000	-1000000	-1000000	
2.960	0.07094	-67.73	0.9620	300.11	-1000000	-1000000	-1000000	-1000000	
2.980	0.07184	-68.84	0.9651	300.13	-1000000	-1000000	-1000000	-1000000	
3.000	0.07279	-69.44	0.9683	300.14	-1000000	-1000000	-1000000	-1000000	
3.020	0.07378	-69.05	0.9717	300.13	-1000000	-1000000	-1000000	-1000000	
3.040	0.07473	-68.25	0.9751	300.11	-1000000	-1000000	-1000000	-1000000	
3.060	0.07565	-67.63	0.9785	300.11	-1000000	-1000000	-1000000	-1000000	
