Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
1.840	0.04877	123.31	0.8314	300.15	-1000000	-1000000	-1000000	-1000000	
1.860	0.04875	123.43	0.8315	300.09	-1000000	-1000000	-1000000	-1000000	
1.880	0.04877	123.52	0.8315	300.09	-1000000	-1000000	-1000000	-1000000	
1.900	0.04874	123.47	0.8318	300.14	-1000000	-1000000	-1000000	-1000000	
1.920	0.04874	123.39	0.8320	300.17	-1000000	-1000000	-1000000	-1000000	
1.940	0.04879	123.29	0.8321	300.14	-1000000	-1000000	-1000000	-1000000	
1.960	0.04884	123.30	0.8321	300.09	-1000000	-1000000	-1000000	-1000000	
1.980	0.04884	123.33	0.8321	300.11	-1000000	-1000000	-1000000	-1000000	
2.000	0.04886	123.28	0.8320	300.16	-1000000	-1000000	-1000000	-1000000	
2.020	0.04890	123.86	0.8320	300.17	-1000000	-1000000	-1000000	-1000000	
2.040	0.04894	124.63	0.8320	300.12	-1000000	-1000000	-1000000	-1000000	
2.060	0.04896	124.95	0.8321	300.09	-1000000	-1000000	-1000000	-1000000	
2.080	0.04897	125.11	0.8322	300.12	-1000000	-1000000	-1000000	-1000000	
2.100	0.04895	125.14	0.8324	300.17	-1000000	-1000000	-1000000	-1000000	
2.120	0.04892	124.69	0.8326	300.15	-1000000	-1000000	-1000000	-1000000	
2.140	0.04894	124.08	0.8327	300.10	-1000000	-1000000	-1000000	-1000000	
2.160	0.04903	123.73	0.8327	300.09	-1000000	-1000000	-1000000	-1000000	
2.180	0.04909	123.49	0.8329	300.14	-1000000	-1000000	-1000000	-1000000	
2.200	0.04908	123.34	0.8328	300.17	-1000000	-1000000	-1000000	-1000000	
2.220	0.04906	123.49	0.8328	300.14	-1000000	-1000000	-1000000	-1000000	
2.240	0.04903	123.67	0.8328	300.09	-1000000	-1000000	-1000000	-1000000	
2.260	0.04903	123.65	0.8328	300.11	-1000000	-1000000	-1000000	-1000000	
2.280	0.04908	123.55	0.8327	300.16	-1000000	-1000000	-1000000	-1000000	
2.300	0.04917	123.63	0.8329	300.17	-1000000	-1000000	-1000000	-1000000	
2.320	0.04918	123.62	0.8333	300.12	-1000000	-1000000	-1000000	-1000000	
2.340	0.04918	123.59	0.8335	300.08	-1000000	-1000000	-1000000	-1000000	
2.360	0.04919	123.64	0.8335	300.12	-1000000	-1000000	-1000000	-1000000	
2.380	0.04918	123.71	0.8335	300.17	-1000000	-1000000	-1000000	-1000000	
2.400	0.04919	123.86	0.8335	300.15	-1000000	-1000000	-1000000	-1000000	
2.420	0.04919	124.39	0.8334	300.09	-1000000	-1000000	-1000000	-1000000	
2.440	0.04922	124.92	0.8334	300.09	-1000000	-1000000	-1000000	-1000000	
2.460	0.04919	124.94	0.8334	300.15	-1000000	-1000000	-1000000	-1000000	
2.480	0.04923	124.23	0.8334	300.17	-1000000	-1000000	-1000000	-1000000	
2.500	0.04932	123.66	0.8335	300.13	-1000000	-1000000	-1000000	-1000000	
2.520	0.04935	123.41	0.8339	300.08	-1000000	-1000000	-1000000	-1000000	
2.540	0.04934	123.37	0.8341	300.11	-1000000	-1000000	-1000000	-1000000	
2.560	0.04934	123.40	0.8342	300.16	-1000000	-1000000	-1000000	-1000000	
2.580	0.04934	123.35	0.8342	300.16	-1000000	-1000000	-1000000	-1000000	
2.600	0.04937	123.32	0.8341	300.11	-1000000	-1000000	-1000000	-1000000	
2.620	0.04941	123.41	0.8340	300.08	-1000000	-1000000	-1000000	-1000000	
2.640	0.04939	123.40	0.8340	300.13	-1000000	-1000000	-1000000	-1000000	
2.660	0.04940	123.45	0.8340	300.17	-1000000	-1000000	-1000000	-1000000	
2.680	0.04945	123.52	0.8340	300.15	-1000000	-1000000	-1000000	-1000000	
2.700	0.04947	123.49	0.8341	300.09	-1000000	-1000000	-1000000	-1000000	
2.720	0.04945	123.44	0.8344	300.09	-1000000	-1000000	-1000000	-1000000	
2.740	0.04947	123.39	0.8347	300.15	-1000000	-1000000	-1000000	-1000000	
2.760	0.04953	123.48	0.8348	300.17	-1000000	-1000000	-1000000	-1000000	
