Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
3.260	-0.07834	125.99	0.8289	300.12	-1000000	-1000000	-1000000	-1000000	
3.280	-0.07831	123.91	0.8290	300.12	-1000000	-1000000	-1000000	-1000000	
3.300	-0.07824	121.13	0.8293	300.14	-1000000	-1000000	-1000000	-1000000	
3.320	-0.07813	116.63	0.8295	300.15	-1000000	-1000000	-1000000	-1000000	
3.340	-0.07794	109.71	0.8296	300.13	-1000000	-1000000	-1000000	-1000000	
3.360	-0.07764	98.50	0.8298	300.12	-1000000	-1000000	-1000000	-1000000	
3.380	-0.07722	81.15	0.8301	300.13	-1000000	-1000000	-1000000	-1000000	
3.400	-0.07667	54.27	0.8305	300.15	-1000000	-1000000	-1000000	-1000000	
3.420	-0.07597	15.96	0.8310	300.14	-1000000	-1000000	-1000000	-1000000	
3.440	-0.07510	-30.33	0.8319	300.12	-1000000	-1000000	-1000000	-1000000	
3.460	-0.07404	-79.65	0.8332	300.12	-1000000	-1000000	-1000000	-1000000	
3.480	-0.07286	-126.56	0.8352	300.14	-1000000	-1000000	-1000000	-1000000	
3.500	-0.07170	-164.53	0.8381	300.15	-1000000	-1000000	-1000000	-1000000	
3.520	-0.07050	-189.59	0.8416	300.14	-1000000	-1000000	-1000000	-1000000	
3.540	-0.06929	-202.68	0.8456	300.12	-1000000	-1000000	-1000000	-1000000	
3.560	-0.06809	-207.89	0.8499	300.12	-1000000	-1000000	-1000000	-1000000	
3.580	-0.06694	-209.17	0.8543	300.14	-1000000	-1000000	-1000000	-1000000	
3.600	-0.06580	-209.00	0.8587	300.15	-1000000	-1000000	-1000000	-1000000	
3.620	-0.06465	-209.03	0.8631	300.14	-1000000	-1000000	-1000000	-1000000	
3.640	-0.06350	-209.22	0.8675	300.12	-1000000	-1000000	-1000000	-1000000	
3.660	-0.06232	-209.42	0.8719	300.13	-1000000	-1000000	-1000000	-1000000	
3.680	-0.06107	-210.20	0.8763	300.15	-1000000	-1000000	-1000000	-1000000	
3.700	-0.05981	-211.37	0.8808	300.15	-1000000	-1000000	-1000000	-1000000	
3.720	-0.05864	-213.03	0.8851	300.13	-1000000	-1000000	-1000000	-1000000	
3.740	-0.05747	-215.56	0.8894	300.12	-1000000	-1000000	-1000000	-1000000	
3.760	-0.05628	-218.38	0.8938	300.14	-1000000	-1000000	-1000000	-1000000	
3.780	-0.05505	-220.50	0.8982	300.15	-1000000	-1000000	-1000000	-1000000	
3.800	-0.05384	-221.97	0.9027	300.15	-1000000	-1000000	-1000000	-1000000	
3.820	-0.05270	-222.88	0.9071	300.12	-1000000	-1000000	-1000000	-1000000	
3.840	-0.05147	-222.84	0.9116	300.12	-1000000	-1000000	-1000000	-1000000	
3.860	-0.05019	-221.96	0.9162	300.14	-1000000	-1000000	-1000000	-1000000	
3.880	-0.04891	-221.55	0.9208	300.15	-1000000	-1000000	-1000000	-1000000	
3.900	-0.04766	-222.17	0.9253	300.14	-1000000	-1000000	-1000000	-1000000	
3.920	-0.04645	-222.68	0.9298	300.12	-1000000	-1000000	-1000000	-1000000	
3.940	-0.04526	-222.89	0.9343	300.13	-1000000	-1000000	-1000000	-1000000	
3.960	-0.04407	-222.98	0.9388	300.15	-1000000	-1000000	-1000000	-1000000	
3.980	-0.04289	-223.26	0.9434	300.15	-1000000	-1000000	-1000000	-1000000	
4.000	-0.04164	-224.08	0.9480	300.13	-1000000	-1000000	-1000000	-1000000	
4.020	-0.04039	-225.40	0.9525	300.11	-1000000	-1000000	-1000000	-1000000	
4.040	-0.03914	-227.20	0.9570	300.12	-1000000	-1000000	-1000000	-1000000	
4.060	-0.03792	-228.94	0.9615	300.14	-1000000	-1000000	-1000000	-1000000	
4.080	-0.03667	-230.31	0.9660	300.14	-1000000	-1000000	-1000000	-1000000	
4.100	-0.03541	-230.93	0.9707	300.12	-1000000	-1000000	-1000000	-1000000	
4.120	-0.03418	-231.21	0.9755	300.12	-1000000	-1000000	-1000000	-1000000	
4.140	-0.03297	-231.16	0.9801	300.14	-1000000	-1000000	-1000000	-1000000	
